Size;DSatur;Greedy;LargestFirst V1;LargestFirst V2
20;18;18;18;18
21;20;20;20;20
22;19;19;19;20
23;21;21;21;21
24;21;22;21;22
25;21;21;21;21
26;23;23;22;22
27;24;24;24;24
28;25;25;24;24
29;23;23;23;23
30;25;25;25;25
31;27;27;27;27
32;28;27;28;28
33;26;28;26;25
34;28;28;28;28
35;27;29;27;28
36;31;30;30;29
37;27;29;27;28
38;30;31;28;30
39;28;31;28;29
40;33;33;33;34
41;30;32;30;31
42;30;32;31;32
43;33;32;32;33
44;33;32;31;32
45;34;33;34;34
46;33;33;32;33
47;34;34;33;37
48;34;35;33;32
49;34;36;33;35
50;36;33;35;34
51;35;37;37;36
52;37;37;35;38
53;34;38;38;39
54;35;35;33;34
55;36;40;36;34
56;34;38;36;37
57;35;38;37;37
58;36;41;37;37
59;39;40;39;38
60;38;41;38;38
61;40;41;40;41
62;38;40;40;39
63;38;41;40;38
64;40;43;41;42
65;40;42;44;42
66;42;46;40;44
67;41;43;41;40
68;43;45;41;41
69;41;45;42;42
70;41;44;42;42
71;40;43;43;40
72;45;47;45;46
73;47;46;43;46
74;45;47;45;46
75;45;47;43;43
76;43;47;44;42
77;46;46;44;43
78;48;48;45;46
79;49;48;43;46
80;47;49;44;45
81;45;48;45;45
82;46;51;48;46
83;48;51;47;47
84;49;48;49;52
85;49;52;51;48
86;48;52;49;49
87;50;52;49;49
88;48;52;47;49
89;48;52;49;49
90;49;50;49;53
91;49;54;48;50
92;47;53;47;50
93;49;54;49;47
94;50;53;50;49
95;51;55;49;51
96;51;53;52;50
97;50;55;50;53
98;53;55;52;54
99;51;58;51;52
100;51;55;54;53
101;53;58;52;54
102;53;56;52;56
103;51;57;54;53
104;52;57;54;55
105;53;58;54;55
106;53;58;53;52
107;54;61;55;54
108;55;58;54;55
109;56;59;54;56
110;55;59;54;55
111;58;61;56;56
112;54;59;58;57
113;57;61;56;60
114;55;60;54;60
115;58;56;56;57
116;56;61;54;57
117;58;60;59;58
118;58;63;57;56
119;58;62;60;60
120;58;65;56;58
121;58;63;57;58
122;57;61;58;61
123;59;65;57;57
124;59;66;59;59
125;59;64;61;61
126;60;66;60;60
127;57;63;58;59
128;60;66;61;61
129;62;66;61;61
130;61;68;60;60
131;61;67;61;65
132;63;65;62;62
133;62;69;63;66
134;63;68;61;62
135;63;67;63;65
